region,destRegion,packetTransmit,packetReceive,packetLossCount,packetLossRate,rttMin,rttAvg,rttMax,rttMdev,packetDuplicateCount,packetDuplicateRate
NA,EU,100,100,0,0.0,177.952,179.131,206.252,2.812,0,0.0
NA,EU,100,100,0,0.0,187.738,194.49,279.872,11.838,0,0.0
NA,NA,100,100,0,0.0,15.59,15.9,16.871,0.199,0,0.0
NA,NA,100,100,0,0.0,145.724,146.046,148.147,0.251,0,0.0
NA,EU,100,100,0,0.0,175.279,175.458,175.888,0.535,0,0.0
NA,NA,100,100,0,0.0,64.548,64.742,66.529,0.43,0,0.0
NA,EU,100,100,0,0.0,149.123,149.276,149.941,0.231,0,0.0
NA,NA,100,100,0,0.0,71.834,72.047,72.3,0.373,0,0.0
NA,NA,100,100,0,0.0,79.86,91.845,161.376,14.592,0,0.0
NA,EU,100,100,0,0.0,173.621,173.737,174.105,0.141,0,0.0
NA,EU,100,100,0,0.0,211.37,211.51,212.241,0.639,0,0.0
NA,EU,100,100,0,0.0,181.8,182.822,186.898,0.879,0,0.0
NA,NA,100,100,0,0.0,72.862,72.944,73.707,0.375,0,0.0
NA,EU,100,100,0,0.0,146.938,147.267,148.31,0.551,0,0.0
NA,EU,100,100,0,0.0,145.404,147.479,151.452,2.142,0,0.0
NA,AS,100,100,0,0.0,183.628,183.809,191.846,0.911,0,0.0
NA,EU,100,100,0,0.0,170.526,171.897,183.085,2.523,0,0.0
NA,NA,100,100,0,0.0,77.825,78.042,80.101,0.497,0,0.0
NA,EU,100,100,0,0.0,155.986,156.147,157.455,0.597,0,0.0
NA,EU,100,83,17,17.0,175.186,181.615,190.729,3.985,0,0.0
NA,NA,100,100,0,0.0,56.0,56.157,61.312,0.582,0,0.0
NA,NA,100,100,0,0.0,8.438,8.65,17.842,0.933,0,0.0
NA,EU,100,100,0,0.0,155.28,155.495,158.816,0.541,0,0.0
NA,EU,100,100,0,0.0,182.461,182.651,183.058,0.345,0,0.0
NA,EU,100,100,0,0.0,162.183,162.296,165.392,0.467,0,0.0
NA,EU,100,100,0,0.0,145.19,145.346,146.913,0.491,0,0.0
NA,AS,100,100,0,0.0,172.388,172.893,176.058,0.682,0,0.0
NA,EU,100,100,0,0.0,162.308,162.439,166.707,0.52,0,0.0
NA,NA,100,100,0,0.0,1.784,1.904,3.194,0.152,0,0.0
NA,EU,100,100,0,0.0,154.6,154.785,155.572,0.525,0,0.0
NA,CN,100,48,52,52.0,184.836,217.561,521.814,46.39,0,0.0
NA,EU,100,100,0,0.0,138.612,139.159,152.139,1.696,0,0.0
NA,EU,100,100,0,0.0,152.395,152.548,155.128,0.497,0,0.0
NA,EU,100,100,0,0.0,171.772,171.854,172.056,0.552,0,0.0
NA,NA,100,100,0,0.0,8.449,8.562,9.335,0.125,0,0.0
NA,EU,100,100,0,0.0,143.901,143.99,144.467,0.307,0,0.0
NA,NA,100,100,0,0.0,9.465,70.545,144.022,44.079,0,0.0
NA,EU,100,100,0,0.0,170.592,171.635,185.541,2.401,0,0.0
NA,EU,100,100,0,0.0,174.106,174.275,175.78,0.38,0,0.0
NA,NA,100,100,0,0.0,86.059,86.867,88.434,0.653,0,0.0
NA,EU,100,100,0,0.0,180.926,182.081,189.18,2.078,0,0.0
NA,NA,100,100,0,0.0,10.378,12.088,18.567,1.694,0,0.0
NA,EU,100,92,8,8.0,168.306,168.396,168.595,0.557,0,0.0
NA,EU,100,100,0,0.0,154.302,154.47,155.198,0.325,0,0.0
NA,CN,100,100,0,0.0,153.728,153.853,157.671,0.434,0,0.0
NA,EU,100,100,0,0.0,151.225,151.321,151.45,0.508,0,0.0
NA,NA,100,100,0,0.0,79.575,79.73,83.038,0.5,0,0.0
NA,EU,100,100,0,0.0,158.808,158.917,159.17,0.532,0,0.0
NA,AS,100,100,0,0.0,186.085,186.214,186.773,0.382,0,0.0
NA,AS,100,100,0,0.0,178.838,179.035,185.646,0.802,0,0.0
NA,NA,100,100,0,0.0,28.133,30.559,36.766,1.895,0,0.0
NA,EU,100,100,0,0.0,183.527,183.641,184.555,0.198,0,0.0
NA,NA,100,100,0,0.0,69.238,69.467,69.639,0.183,0,0.0
NA,AS,100,76,24,24.0,102.013,104.829,191.624,13.772,0,0.0
NA,EU,100,100,0,0.0,152.203,152.384,152.961,0.422,0,0.0
NA,NA,100,100,0,0.0,81.781,81.941,82.927,0.289,0,0.0
NA,NA,100,100,0,0.0,61.34,66.453,76.84,3.028,0,0.0
NA,NA,100,99,1,1.0,14.614,15.13,26.459,1.306,0,0.0
NA,NA,100,100,0,0.0,26.803,29.572,46.373,3.84,0,0.0
NA,EU,100,100,0,0.0,170.989,171.265,174.542,0.658,0,0.0
NA,NA,100,100,0,0.0,111.573,112.076,126.798,1.551,0,0.0
NA,EU,100,100,0,0.0,160.748,160.86,161.51,0.282,0,0.0
NA,NA,100,100,0,0.0,59.58,60.144,62.089,0.491,0,0.0
